ID	AU	TI	SO	PY	VL	IS	Included?	Reason
238	Nelson, K; Drain, N; Robinson, J; Kapp, J; Hebert, P; Taylor, L; Silverman, J; Kiefer, M; Lessler, D; Krieger, J	Peer Support for Achieving Independence in Diabetes (Peer-AID): Design, methods and baseline characteristics of a randomized controlled trial of community health worker assisted diabetes self-management support	CONTEMPORARY CLINICAL TRIALS	2014	38	2	0	Not UK clinical sites
239	Pakpour, AH; Gellert, P; Asefzadeh, S; Sniehotta, FF	Planning Predicts Dental Service Attendance and the Effect is Moderated by Dental Anxiety and Educational Status: Findings from a One-Year Prospective Study	APPLIED PSYCHOLOGY-HEALTH AND WELL BEING	2014	6	2	0	"Iranian
Duplicate of paper 75"
240	Cornwell, EY	Social Resources and Disordered Living Conditions: Evidence From a National Sample of Community-Residing Older Adults	RESEARCH ON AGING	2014	36	4	0	"US-based study
Duplicate of 76"
241	Reeves, D; Blickem, C; Vassilev, I; Brooks, H; Kennedy, A; Richardson, G; Rogers, A	The Contribution of Social Networks to the Health and Self-Management of Patients with Long-Term Conditions: A Longitudinal Study	PLOS ONE	2014	9	6	1	
242	Albor, C; Uphoff, EP; Stafford, M; Ballas, D; Wilkinson, RG; Pickett, KE	The effects of socioeconomic incongruity in the neighbourhood on social support, self-esteem and mental health in England	SOCIAL SCIENCE & MEDICINE	2014	111		1	
243	Bucchianeri, MM; Eisenberg, ME; Wall, MM; Piran, N; Neumark-Sztainer, D	Multiple Types of Harassment: Associations With Emotional Well-Being and Unhealthy Behaviors in Adolescents	JOURNAL OF ADOLESCENT HEALTH	2014	54	6	0	"US-based study
Duplicate of 74"
244	Kuwert, P; Knaevelsrud, C; Pietrzak, RH	Loneliness Among Older Veterans in the United States: Results from the National Health and Resilience in Veterans Study	AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	2014	22	6	0	US-based study
245	Ree, E; Odeen, M; Eriksen, HR; Indahl, A; Ihlebaek, C; Hetland, J; Harris, A	Subjective Health Complaints and Self-Rated Health: Are Expectancies More Important Than Socioeconomic Status and Workload?	INTERNATIONAL JOURNAL OF BEHAVIORAL MEDICINE	2014	21	3	0	Norwegian study
246	Fisher, K; Newbold, KB	Validity of the SF-12 in a Canadian Old Order Mennonite Community	APPLIED RESEARCH IN QUALITY OF LIFE	2014	9	2	0	Canadian study
247	Holly, D; Sharp, J	Addressing health inequities: coronary heart disease training within learning disabilities services	BRITISH JOURNAL OF LEARNING DISABILITIES	2014	42	2	0	Duplicate of 73
248	Yi, JY; Zhong, B; Yao, SQ	Health-related quality of life and influencing factors among rural left-behind wives in Liuyang, China	BMC WOMENS HEALTH	2014	14		0	Chinese study
249	Moodley, J	Women's mental health: coping mechanisms in the context of poverty	JOURNAL OF PSYCHOLOGY IN AFRICA	2014	24	3	0	South African study
250	Bellis, MA; Hughes, K; Leckenby, N; Perkins, C; Lowey, H	National household survey of adverse childhood experiences and their relationship with resilience to health-harming behaviors in England	BMC MEDICINE	2014	12		1	
251	Edwards, L; Thomas, C; Gregory, A; Yardley, L; O'Cathain, A; Montgomery, AA; Salisbury, C	Are People With Chronic Diseases Interested in Using Telehealth? A Cross-Sectional Postal Survey	JOURNAL OF MEDICAL INTERNET RESEARCH	2014	16	5	1	
252	Aantjes, CJ; Ramerman, L; Bunders, JFG	A systematic review of the literature on self-management interventions and discussion of their potential relevance for people living with HIV in sub-Saharan Africa	PATIENT EDUCATION AND COUNSELING	2014	95	2	0	Sub-Saharan Africa
253	Caplan, MA	Financial Coping Strategies of Mental Health Consumers: Managing Social Benefits	COMMUNITY MENTAL HEALTH JOURNAL	2014	50	4	0	"US-based study
Duplicate of 72"
254	Marck, K; Glover, M; Kira, A; McCool, J; Scragg, R; Nosa, V; Bullen, C	Protecting children from taking up smoking: parents' views on what would help	HEALTH PROMOTION JOURNAL OF AUSTRALIA	2014	25	1	0	"New Zealand study
Duplicate of 69"
255	Iten, AE; Jacobs, EA; Lahiff, M; Fernandez, A	Undocumented Immigration Status and Diabetes Care Among Mexican Immigrants In Two Immigration Sanctuary Areas	JOURNAL OF IMMIGRANT AND MINORITY HEALTH	2014	16	2	0	"US-based study
Duplicate of 70"
256	Kouam, CE; Delisle, H; Ebbing, HJ; Israel, AD; Salpeteur, C; Aissa, MA; Ridde, V	Perspectives for integration into the local health system of community-based management of acute malnutrition in children under 5 years: a qualitative study in Bangladesh	NUTRITION JOURNAL	2014	13		0	Bangladeshi study
257	Uijtdewilligen, L; Twisk, JWR; Chinapaw, MJM; Koppes, LLJ; Van Mechelen, W; Singh, AS	Longitudinal Person-Related Determinants of Physical Activity in Young Adults	MEDICINE AND SCIENCE IN SPORTS AND EXERCISE	2014	46	3	0	"Dutch study
Duplicate of 68"
258	Simning, A; Conwell, Y; van Wijngaarden, E	Cognitive impairment in public housing residents living in Western New York	SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY	2014	49	3	0	US-based study
259	Dale, S; Cohen, M; Weber, K; Cruise, R; Kelso, G; Brody, L	Abuse and Resilience in Relation to HAART Medication Adherence and HIV Viral Load Among Women with HIV in the United States	AIDS PATIENT CARE AND STDS	2014	28	3	0	US-based study
260	Haycock, D; Smith, A	Sports participation and health during periods of educational transition: a study of 30-35-year-olds in north-west England	SPORT EDUCATION AND SOCIETY	2014	19	2	0	Duplicate of 67
261	Horrocks, C; Johnson, S	A socially situated approach to inform ways to improve health and wellbeing	SOCIOLOGY OF HEALTH & ILLNESS	2014	36	2	0	Not empirical paper
262	Weaver, RR; Lemonde, M; Payman, N; Goodman, WM	Health capabilities and diabetes self-management: The impact of economic, social, and cultural resources	SOCIAL SCIENCE & MEDICINE	2014	102		0	Canadian study
263	Diehl, K	A PROGRAM FOR IMPROVING HEALTH AND STRESS MANAGEMENT FOR ADOLESCENTS FROM LOW-INCOME FAMILIES: INTEGRATING BEHAVIORAL COPING SKILLS, NUTRITION EDUCATION AND YOGA	JOURNAL OF ADOLESCENT HEALTH	2014	54	2	0	US-based study
264	Feinglass, J; Nonzee, NJ; Murphy, KR; Endress, R; Simon, MA	Access to Care Outcomes: A Telephone Interview Study of a Suburban Safety Net Program for the Uninsured	JOURNAL OF COMMUNITY HEALTH	2014	39	1	0	Duplicate of 65
265	Allmark, P; Bhanbhro, S; Chrisp, T	An argument against the focus on Community Resilience in Public Health	BMC PUBLIC HEALTH	2014	14		0	Not empirical paper
266	Lofters, A; Slater, M; Kirst, M; Shankardass, K; Quinonez, C	How Do People Attribute Income-Related Inequalities in Health? A Cross-Sectional Study in Ontario, Canada	PLOS ONE	2014	9	1	0	Canadian study
267	Maneze, D; Dennis, S; Chen, HY; Taggart, J; Vagholkar, S; Bunker, J; Liaw, ST	Multidisciplinary care: experience of patients with complex needs	AUSTRALIAN JOURNAL OF PRIMARY HEALTH	2014	20	1	0	Duplicate of 66
268	Robinson, JK; Gaber, R; Hultgren, B; Eilers, S; Blatt, H; Stapleton, J; Mallett, K; Turrisi, R; Duffecy, J; Begale, M; Martini, M; Bilimoria, K; Wayne, J	Skin Self-Examination Education for Early Detection of Melanoma: A Randomized Controlled Trial of Internet, Workbook, and In-Person Interventions	JOURNAL OF MEDICAL INTERNET RESEARCH	2014	16	1	0	"US-based study
Population: melanoma
Full-text obtained"
269	Leung, P; LaChapelle, AR; Scinta, A; Olvera, N	Factors Contributing to Depressive Symptoms among Mexican Americans and Latinos	SOCIAL WORK	2014	59	1	0	US-based study
270	Small, N; Blickem, C; Blakeman, T; Panagioti, M; Chew-Graham, CA; Bower, P	Telephone based self-management support by 'lay health workers' and 'peer support workers' to prevent and manage vascular diseases: a systematic review and meta-analysis	BMC HEALTH SERVICES RESEARCH	2013	13		0	Primarily US-based
271	Panic, M; Ford, JD	A Review of National-Level Adaptation Planning with Regards to the Risks Posed by Climate Change on Infectious Diseases in 14 OECD Nations	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH	2013	10	12	0	Not UK-based
272	Johnston, DW; Schurer, S; Shields, MA	Exploring the intergenerational persistence of mental health: Evidence from three generations	JOURNAL OF HEALTH ECONOMICS	2013	32	6	1	
273	Sherman, J	Surviving the Great Recession: Growing Need and the Stigmatized Safety Net	SOCIAL PROBLEMS	2013	60	4	0	US-based study
274	Heaven, PCL; Ciarrochi, J; Leeson, P; Barkus, E	Agreeableness, conscientiousness, and psychoticism: Distinctive influences of three personality dimensions in adolescence	BRITISH JOURNAL OF PSYCHOLOGY	2013	104	4	0	Duplicate of 49
275	Waldbrook, N	Formerly Homeless, Older Women's Experiences with Health, Housing, and Aging	JOURNAL OF WOMEN & AGING	2013	25	4	0	Duplicate of 48
276	Babiarz, P; Widdows, R; Yilmazer, T	BORROWING TO COPE WITH ADVERSE HEALTH EVENTS: LIQUIDITY CONSTRAINTS, INSURANCE COVERAGE, AND UNSECURED DEBT	HEALTH ECONOMICS	2013	22	10	0	US-based study
277	Priest, N; Paradies, Y; Trenerry, B; Truong, M; Karlsen, S; Kelly, Y	A systematic review of studies examining the relationship between reported racism and health and wellbeing for children and young people	SOCIAL SCIENCE & MEDICINE	2013	95		0	Systematic review: mostly US-based studies
278	Byrd-Craven, J; Massey, AR	Lean on me: Effects of social support on low socioeconomic-status pregnant women	NURSING & HEALTH SCIENCES	2013	15	3	0	US-based study
279	Roy, J; Schurer, S	GETTING STUCK IN THE BLUES: PERSISTENCE OF MENTAL HEALTH PROBLEMS IN AUSTRALIA	HEALTH ECONOMICS	2013	22	9	0	Australian study
280	Arcury, TA; Bell, RA; Altizer, KP; Grzywacz, JG; Sandberg, JC; Quandt, SA	Attitudes of Older Adults Regarding Disclosure of Complementary Therapy Use to Physicians	JOURNAL OF APPLIED GERONTOLOGY	2013	32	5	0	US-based study
281	Fagg, JH; Curtis, SE; Cummins, S; Stansfeld, SA; Quesnel-Vallee, A	Neighbourhood deprivation and adolescent self-esteem: Exploration of the 'socio-economic equalisation in youth' hypothesis in Britain and Canada	SOCIAL SCIENCE & MEDICINE	2013	91		0	Duplicate of 45
282	Cairns-Nagi, JM; Bambra, C	Defying the odds: A mixed-methods study of health resilience in deprived areas of England	SOCIAL SCIENCE & MEDICINE	2013	91		0	Duplicate of 46
283	Wang, HL; Booth-LaForce, C; Tang, SM; Wu, WR; Chen, CH	Depressive symptoms in Taiwanese women during the peri- and post-menopause years: Associations with demographic, health, and psychosocial characteristics	MATURITAS	2013	75	4	0	Taiwanese study
284	Tabb, KM; Gavin, AR; Guo, YQ; Huang, H; Debiec, K; Katon, W	Views and Experiences of Suicidal Ideation During Pregnancy and the Postpartum: Findings from Interviews with Maternal Care Clinic Patients	WOMEN & HEALTH	2013	53	5	0	US-based study
285	Mezuk, B; Abdou, CM; Hudson, D; Kershaw, KN; Rafferty, JA; Lee, H; Jackson, JS	White Box Epidemiology and the Social Neuroscience of Health Behaviors: The Environmental Affordances Model	SOCIETY AND MENTAL HEALTH	2013	3	2	0	US-based study
286	Balabanova, D; Mills, A; Conteh, L; Akkazieva, B; Banteyerga, H; Dash, U; Gilson, L; Harmer, A; Ibraimova, A; Islam, Z; Kidanu, A; Koehlmoos, TP; Limwattananon, S; Muraleedharan, VR; Murzalieva, G; Palafox, B; Panichkriangkrai, W; Patcharanarumol, W; Penn-Kekana, L; Powell-Jackson, T; Tangcharoensathien, V; McKee, M	Good Health at Low Cost 25 years on: lessons for the future of health systems strengthening	LANCET	2013	381	9883	0	Not UK based
287	Haque, MA; Budi, A; Malik, AA; Yamamoto, SS; Louis, VR; Sauerborn, R	Health coping strategies of the people vulnerable to climate change in a resource-poor rural setting in Bangladesh	BMC PUBLIC HEALTH	2013	13		0	Bangladeshi study
288	Rahman, MM; Gilmour, S; Saito, E; Sultana, P; Shibuya, K	Self-reported illness and household strategies for coping with health-care payments in Bangladesh	BULLETIN OF THE WORLD HEALTH ORGANIZATION	2013	91	6	0	Bangladeshi study
289	McCoy, SK; Wellman, JD; Cosley, B; Saslow, L; Epel, E	Is the belief in meritocracy palliative for members of low status groups? Evidence for a benefit for self-esteem and physical health via perceived control	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY	2013	43	4	0	US-based study
290	Decker, MR; Nair, S; Saggurti, N; Sabri, B; Jethva, M; Raj, A; Donta, B; Silverman, JG	Violence-Related Coping, Help-Seeking and Health Care-Based Intervention Preferences Among Perinatal Women in Mumbai, India	JOURNAL OF INTERPERSONAL VIOLENCE	2013	28	9	0	Indian study
291	Webel, AR; Cuca, Y; Okonsky, JG; Asher, AK; Kaihura, A; Salata, RA	The impact of social context on self-management in women living with HIV	SOCIAL SCIENCE & MEDICINE	2013	87		0	Duplicate of 43
292	Benzeval, M; Green, MJ; Macintyre, S	Does Perceived Physical Attractiveness in Adolescence Predict Better Socioeconomic Position in Adulthood? Evidence from 20 Years of Follow Up in a Population Cohort Study	PLOS ONE	2013	8	5	0	Scottish study
293	Gagnon, AJ; Carnevale, F; Mehta, P; Rousseau, H; Stewart, DE	Developing population interventions with migrant women for maternal-child health: a focused ethnography	BMC PUBLIC HEALTH	2013	13		0	Canadian study
294	Hardon, A; Idrus, NI; Hymans, TD	Chemical sexualities: the use of pharmaceutical and cosmetic products by youth in South Sulawesi, Indonesia	REPRODUCTIVE HEALTH MATTERS	2013	21	41	0	Duplicate of 42
295	Major, B; Mendes, WB; Dovidio, JF	Intergroup Relations and Health Disparities: A Social Psychological Perspective	HEALTH PSYCHOLOGY	2013	32	5	0	Duplicate of 40
296	Polonijo, AN; Carpiano, RM	Social inequalities in adolescent human papillomavirus (HPV) vaccination: A test of fundamental cause theory	SOCIAL SCIENCE & MEDICINE	2013	82		0	US/Canadian study
297	Tol, WA; Song, SZ; Jordans, MJD	Annual Research Review: Resilience and mental health in children and adolescents living in areas of armed conflict - a systematic review of findings in low- and middle-income countries	JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	2013	54	4	0	Low/middle income countries
298	Ewelukwa, O; Onoka, C; Onwujekwe, O	Viewing health expenditures, payment and coping mechanisms with an equity lens in Nigeria	BMC HEALTH SERVICES RESEARCH	2013	13		0	Nigerian study
299	Edge, D	Why are you cast down, o my soul? Exploring intersections of ethnicity, gender, depression, spirituality and implications for Black British Caribbean women's mental health	CRITICAL PUBLIC HEALTH	2013	23	1	0	Duplicate of 38
300	Gomez, FR; Jaramillo, TZ; Beltran, LG	Colombian health care system: results on equity for five health dimensions, 2003-2008	REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH	2013	33	2	0	Colombian study
301	Ferres, ED; Megias, JL; Exposito, F	Gender-based violence against women with visual and physical disabilities	PSICOTHEMA	2013	25	1	0	"Full-text obtained
Spanish study"
302	Blickem, C; Blakeman, T; Kennedy, A; Bower, P; Reeves, D; Gardner, C; Lee, V; Chew-Graham, C; Richardson, G; Brooks, H; Dawson, S; Mossabir, R; Jariwala, P; Swallow, A; Kontopantelis, E; Gaffney, H; Small, N; Spackman, E; Rogers, A	The clinical and cost-effectiveness of the BRinging Information and Guided Help Together (BRIGHT) intervention for the self-management support of people with stage 3 chronic kidney disease in primary care: study protocol for a randomized controlled trial	TRIALS	2013	14		0	Population: only patients with chronic kidney disease (CKD)
303	D'Souza, MS; Karkada, SN; Somayaji, G	Factors associated with health-related quality of life among Indian women in mining and agriculture	HEALTH AND QUALITY OF LIFE OUTCOMES	2013	11		0	Indian study
304	Fisher, KA; Newbold, KB; Eyles, JD; Elliott, SJ	Physical health in a Canadian Old Order Mennonite community	RURAL AND REMOTE HEALTH	2013	13	1	0	Canadian study
305	Siddiqi, A; Kawachi, I; Keating, DP; Hertzman, C	A COMPARATIVE STUDY OF POPULATION HEALTH IN THE UNITED STATES AND CANADA DURING THE NEOLIBERAL ERA, 1980-2008	INTERNATIONAL JOURNAL OF HEALTH SERVICES	2013	43	2	0	US-based study
306	Miller-Lewis, LR; Searle, AK; Sawyer, MG; Baghurst, PA; Hedley, D	Resource factors for mental health resilience in early childhood: An analysis with multiple methodologies	CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH	2013	7		0	Australian study
